group,type_label,cu_cancel_dt,total
customer,High_Maintenance,2021-11-17,8
customer,Potential_Loyalist,2022-03-22,6
customer,Loyalist,2021-05-25,4
customer,Loyalist,2021-04-06,4
customer,Potential_Loyalist,2021-08-18,4
customer,High_Maintenance,2021-09-02,4
customer,High_Maintenance,2022-01-21,4
customer,Loyalist,2022-02-07,4
customer,Potential_Loyalist,2021-05-03,4
customer,Dissatisfied,2022-03-21,4
customer,Dissatisfied,2021-09-09,4
customer,Potential_Loyalist,2021-08-23,4
customer,Potential_Loyalist,2021-09-10,4
customer,Loyalist,2021-10-11,2
customer,Dissatisfied,2021-05-12,2
customer,Loyalist,2021-11-12,2
customer,Loyalist,2021-12-01,2
customer,Loyalist,2022-02-08,2
customer,Loyalist,2022-03-15,2
customer,Loyalist,2021-09-23,2
customer,Loyalist,2021-06-29,2
customer,Loyalist,2021-09-03,2
customer,Loyalist,2021-08-04,2
customer,Loyalist,2022-04-18,2
customer,Loyalist,2021-06-09,2
customer,Loyalist,2021-06-08,2
customer,Loyalist,2021-06-01,2
customer,Loyalist,2021-05-20,2
customer,Loyalist,2021-05-04,2
customer,Loyalist,2021-05-03,2
customer,Loyalist,2021-04-24,2
customer,Loyalist,2021-04-17,2
customer,Loyalist,2021-04-16,2
customer,Loyalist,2022-04-04,2
customer,Potential_Loyalist,2021-04-09,2
customer,Loyalist,2022-06-01,2
customer,Loyalist,2022-06-22,2
customer,Potential_Loyalist,2022-06-24,2
customer,Potential_Loyalist,2022-06-08,2
customer,Potential_Loyalist,2022-04-27,2
customer,Potential_Loyalist,2022-04-26,2
customer,Potential_Loyalist,2022-03-28,2
customer,Potential_Loyalist,2022-03-24,2
customer,Potential_Loyalist,2022-02-14,2
customer,Potential_Loyalist,2021-12-13,2
customer,Potential_Loyalist,2021-09-28,2
customer,Potential_Loyalist,2021-09-08,2
customer,Potential_Loyalist,2021-09-01,2
customer,Potential_Loyalist,2021-08-20,2
customer,Potential_Loyalist,2021-07-13,2
customer,Potential_Loyalist,2021-07-12,2
customer,Potential_Loyalist,2021-07-09,2
customer,Potential_Loyalist,2021-07-08,2
customer,Potential_Loyalist,2021-06-28,2
customer,Potential_Loyalist,2021-06-23,2
customer,Potential_Loyalist,2021-06-14,2
customer,Potential_Loyalist,2021-05-27,2
customer,Potential_Loyalist,2021-05-01,2
customer,Loyalist,2021-03-08,2
customer,Potential_Loyalist,2021-03-08,2
customer,Loyalist,2021-03-29,2
customer,Loyalist,2021-02-18,2
customer,Loyalist,2021-02-23,2
customer,Dissatisfied,2022-01-20,2
customer,Dissatisfied,2022-08-24,2
customer,Dissatisfied,2022-07-13,2
customer,Dissatisfied,2022-05-18,2
customer,Dissatisfied,2022-04-19,2
customer,Dissatisfied,2022-04-11,2
customer,Dissatisfied,2022-03-26,2
customer,Dissatisfied,2022-03-19,2
customer,Dissatisfied,2022-03-07,2
customer,Dissatisfied,2022-03-03,2
customer,Dissatisfied,2022-03-02,2
customer,Dissatisfied,2022-02-14,2
customer,Dissatisfied,2021-10-22,2
customer,High_Maintenance,2021-08-01,2
customer,Dissatisfied,2021-09-27,2
customer,Dissatisfied,2021-09-21,2
customer,Dissatisfied,2021-08-31,2
customer,Dissatisfied,2021-08-11,2
customer,Dissatisfied,2021-08-10,2
customer,Dissatisfied,2021-08-06,2
customer,Dissatisfied,2021-08-01,2
customer,Dissatisfied,2021-07-19,2
customer,Dissatisfied,2021-06-28,2
customer,Dissatisfied,2021-06-08,2
customer,Dissatisfied,2021-06-01,2
customer,Dissatisfied,2022-08-31,2
customer,High_Maintenance,2021-08-02,2
customer,Loyalist,2021-02-22,2
customer,High_Maintenance,2022-02-03,2
customer,Dissatisfied,2021-05-17,2
customer,High_Maintenance,2022-08-09,2
customer,High_Maintenance,2022-07-30,2
customer,High_Maintenance,2022-07-26,2
customer,High_Maintenance,2022-06-22,2
customer,High_Maintenance,2022-06-20,2
customer,High_Maintenance,2022-05-23,2
customer,High_Maintenance,2022-04-09,2
customer,High_Maintenance,2022-03-22,2
customer,High_Maintenance,2022-03-14,2
customer,High_Maintenance,2022-02-25,2
customer,High_Maintenance,2022-02-02,2
customer,High_Maintenance,2021-09-07,2
customer,High_Maintenance,2022-01-31,2
customer,High_Maintenance,2021-12-28,2
customer,High_Maintenance,2021-12-20,2
customer,High_Maintenance,2021-12-01,2
customer,High_Maintenance,2021-11-02,2
customer,High_Maintenance,2021-11-01,2
customer,High_Maintenance,2021-10-28,2
customer,High_Maintenance,2021-10-06,2
customer,High_Maintenance,2021-10-01,2
customer,High_Maintenance,2021-09-29,2
customer,High_Maintenance,2021-09-09,2
customer,Satisfied,2021-09-21,2
