cu_purchase_month,cu_purchase_year,cu_cancel_dt,cu_cancel_month,cu_cancel_year,esc_ticket_cnt,cu_purchase_dt
2,2021,2021-12-01,12,2021,0,2021-02-01
2,2021,2021-12-01,12,2021,0,2021-02-01
4,2021,2022-04-11,4,2022,0,2021-04-09
4,2021,2022-04-11,4,2022,0,2021-04-09
11,2020,2021-06-09,6,2021,0,2020-11-20
11,2020,2021-06-09,6,2021,0,2020-11-20
8,2021,2021-10-01,10,2021,1,2021-08-13
8,2021,2021-10-01,10,2021,1,2021-08-13
6,2021,2021-09-21,9,2021,0,2021-06-21
6,2021,2021-09-21,9,2021,0,2021-06-21
2,2021,2022-06-24,6,2022,0,2021-02-27
2,2021,2022-06-24,6,2022,0,2021-02-27
5,2021,2021-09-09,9,2021,0,2021-05-24
5,2021,2021-09-09,9,2021,0,2021-05-24
5,2021,2022-02-03,2,2022,0,2021-05-17
5,2021,2022-02-03,2,2022,0,2021-05-17
4,2021,2021-08-01,8,2021,0,2021-04-02
4,2021,2021-08-01,8,2021,0,2021-04-02
3,2021,2021-10-22,10,2021,0,2021-03-22
3,2021,2021-10-22,10,2021,0,2021-03-22
2,2021,2021-09-28,9,2021,0,2021-02-25
2,2021,2021-09-28,9,2021,0,2021-02-25
5,2021,2021-11-01,11,2021,0,2021-05-28
5,2021,2021-11-01,11,2021,0,2021-05-28
1,2022,2022-03-22,3,2022,0,2022-01-26
2,2021,2022-03-22,3,2022,0,2021-02-20
10,2021,2022-03-22,3,2022,0,2021-10-26
1,2022,2022-03-22,3,2022,0,2022-01-26
2,2021,2022-03-22,3,2022,0,2021-02-20
10,2021,2022-03-22,3,2022,0,2021-10-26
6,2021,2022-01-31,1,2022,0,2021-06-07
6,2021,2022-01-31,1,2022,0,2021-06-07
5,2021,2022-07-30,7,2022,2,2021-05-24
5,2021,2022-07-30,7,2022,2,2021-05-24
2,2021,2021-08-23,8,2021,0,2021-02-26
2,2021,2021-08-23,8,2021,0,2021-02-26
12,2020,2021-02-23,2,2021,0,2020-12-26
12,2020,2021-02-23,2,2021,0,2020-12-26
4,2021,2021-09-09,9,2021,0,2021-04-06
4,2021,2021-09-09,9,2021,0,2021-04-06
2,2021,2021-04-16,4,2021,0,2021-02-03
2,2021,2021-04-16,4,2021,0,2021-02-03
4,2021,2021-08-06,8,2021,0,2021-04-28
4,2021,2021-08-06,8,2021,0,2021-04-28
2,2021,2022-06-08,6,2022,1,2021-02-11
2,2021,2022-06-08,6,2022,1,2021-02-11
2,2021,2021-09-01,9,2021,0,2021-02-25
2,2021,2021-09-01,9,2021,0,2021-02-25
3,2021,2021-07-08,7,2021,0,2021-03-08
3,2021,2021-07-08,7,2021,0,2021-03-08
5,2021,2021-08-11,8,2021,0,2021-05-06
5,2021,2021-08-11,8,2021,0,2021-05-06
11,2020,2021-05-04,5,2021,0,2020-11-29
11,2020,2021-05-04,5,2021,0,2020-11-29
1,2021,2022-06-01,6,2022,0,2021-01-14
1,2021,2022-06-01,6,2022,0,2021-01-14
3,2021,2021-05-17,5,2021,0,2021-03-26
3,2021,2021-05-17,5,2021,0,2021-03-26
6,2021,2021-11-02,11,2021,0,2021-06-01
6,2021,2021-11-02,11,2021,0,2021-06-01
2,2021,2021-06-14,6,2021,0,2021-02-10
2,2021,2021-06-14,6,2021,0,2021-02-10
4,2021,2022-05-18,5,2022,0,2021-04-22
4,2021,2022-05-18,5,2022,0,2021-04-22
2,2021,2021-06-23,6,2021,0,2021-02-24
